DEPARTAMENTO_N,Promedio,Mediana,Municipios
VAUPES,544.527,1.664,3
GUAINIA,76.173,0.977,5
LA GUAJIRA,29.067,0.441,15
CUNDINAMARCA,21.557,0.585,114
TOLIMA,19.177,1.166,46
NORTE DE SANTANDER,18.145,1.078,39
META,17.332,1.953,27
BOYACA,16.625,1.141,121
NARINO,12.335,0.787,54
SANTANDER,8.373,0.331,83
VALLE DEL CAUCA,8.141,1.165,41
CHOCO,7.746,2.847,15
AMAZONAS,7.631,5.552,8
CAUCA,7.478,2.958,39
ATLANTICO,7.473,1.355,22
BOLIVAR,7.185,0.764,41
PUTUMAYO,5.261,0.492,12
CORDOBA,4.334,1.094,30
RISARALDA,4.228,0.79,14
ANTIOQUIA,3.786,0.712,118
HUILA,3.214,0.417,36
SUCRE,2.773,0.498,24
GUAVIARE,2.655,0.114,4
CESAR,2.379,0.658,22
CALDAS,2.139,0.899,27
CASANARE,1.828,1.005,19
MAGDALENA,1.224,0.566,28
CAQUETA,1.084,0.299,16
ARAUCA,0.919,0.69,7
QUINDIO,0.884,0.653,12
VICHADA,0.288,0.238,4
